Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,multiple_deliveries,City,distance,time_diff_minutes,Time_taken (min)
0,36.0,4.2,Fog,Jam,2,Snack,3.0,Metropolitian,10.283809370245676,15,46
1,21.0,4.7,Stormy,High,1,Meal,1.0,Metropolitian,6.244278286745412,10,23
2,23.0,4.7,Sandstorms,Medium,1,Drinks,1.0,Metropolitian,13.79218855819285,10,21
3,34.0,4.3,Sandstorms,Low,0,Buffet,0.0,Metropolitian,2.931177674502747,10,20
4,24.0,4.7,Fog,Jam,1,Snack,1.0,Metropolitian,19.40270732481342,15,41
5,29.0,4.5,Sandstorms,Jam,2,Buffet,1.0,Metropolitian,13.768298046033175,10,20
6,35.0,4.0,Windy,High,1,Meal,1.0,Metropolitian,6.2199531604237,15,33
7,33.0,4.2,Sandstorms,Jam,2,Snack,1.0,Metropolitian,16.85522949262582,10,40
8,34.0,4.9,Cloudy,Jam,0,Snack,0.0,Metropolitian,10.76048569832759,10,41
9,21.0,4.7,Windy,Jam,0,Meal,1.0,Urban,4.54199977701845,15,15
10,25.0,4.1,Sandstorms,Jam,0,Snack,2.0,Metropolitian,12.259923903150124,5,36
11,31.0,4.7,Sandstorms,Low,2,Meal,0.0,Metropolitian,19.62489811174209,15,26
12,37.0,5.0,Sandstorms,Low,1,Snack,1.0,Metropolitian,1.5586213982724693,15,20
13,33.0,4.3,Windy,Jam,2,Meal,1.0,Metropolitian,20.18697026875735,15,39
14,25.0,4.0,Cloudy,High,1,Buffet,1.0,Metropolitian,6.118891924483678,5,34
15,29.0,4.5,Sunny,Medium,2,Meal,1.0,Metropolitian,17.080954813692976,15,15
16,27.0,5.0,Stormy,Jam,0,Snack,0.0,Urban,4.471689812771425,5,18
17,35.0,4.3,Cloudy,Low,1,Drinks,0.0,Metropolitian,13.686339627172,10,38
18,32.0,4.0,Windy,Jam,0,Buffet,1.0,Metropolitian,13.97756914980624,15,47
19,23.0,4.8,Windy,Low,2,Buffet,0.0,Urban,16.858909459324583,10,12
20,31.0,4.8,Sandstorms,Low,2,Drinks,1.0,Metropolitian,4.675639451880366,15,26
21,36.0,4.1,Stormy,Low,0,Drinks,1.0,Urban,7.604003089316599,5,22
22,26.0,4.3,Sandstorms,Low,0,Buffet,0.0,Urban,7.722747996420642,10,21
23,38.0,4.9,Cloudy,High,1,Drinks,1.0,Urban,6.17757493195117,5,25
24,32.0,3.5,Stormy,Jam,1,Snack,0.0,Urban,17.303295941503084,10,35
25,32.0,4.6,Cloudy,Low,2,Drinks,1.0,Metropolitian,19.920938633090486,10,30
26,33.0,4.9,Sunny,Medium,1,Snack,1.0,Metropolitian,10.72788441505216,15,22
27,20.0,4.7,Windy,High,1,Snack,0.0,Urban,6.129759118031218,10,10
28,20.0,4.8,Sandstorms,Low,2,Meal,1.0,Metropolitian,1.5208345877118583,0,19
29,35.0,5.0,Sunny,Low,2,Snack,1.0,Urban,3.0744185861063253,10,11
30,26.0,4.9,Stormy,Low,2,Buffet,0.0,Metropolitian,3.1061062480615287,15,11
31,22.0,4.8,Fog,Low,1,Snack,1.0,Metropolitian,10.87083836385875,0,28
32,35.0,4.3,Cloudy,Medium,1,Snack,1.0,Metropolitian,10.868875517170368,5,33
33,29.566910587697237,4.6337736972250205,Cloudy,Medium,1,Drinks,1.0,Metropolitian,12.240564998992708,0,33
34,37.0,4.7,Sandstorms,Jam,0,Snack,3.0,Metropolitian,13.686811547783508,5,52
35,28.0,4.6,Stormy,Jam,1,Snack,1.0,Metropolitian,16.8315237838484,15,22
36,37.0,4.9,Fog,Low,1,Snack,1.0,Urban,3.028187248643289,0,16
37,23.0,4.9,Sunny,Jam,2,Drinks,0.0,Metropolitian,9.17807414387102,5,11
38,27.0,4.9,Windy,Medium,1,Drinks,1.0,Metropolitian,9.31799338686387,0,25
39,37.0,4.8,Cloudy,Medium,0,Drinks,1.0,Urban,6.210970252721151,10,26
40,33.0,5.0,Sunny,High,2,Snack,1.0,Metropolitian,1.520821998098837,10,18
41,31.0,4.9,Fog,Medium,1,Snack,1.0,Metropolitian,6.03912061309758,5,16
42,31.0,4.8,Stormy,Low,2,Drinks,1.0,Metropolitian,17.084026875055873,10,23
43,25.0,5.0,Cloudy,Low,0,Snack,0.0,Metropolitian,4.719082053000275,15,15
44,28.0,4.8,Sandstorms,Jam,0,Drinks,1.0,Metropolitian,12.468242130566304,10,36
45,31.0,4.7,Cloudy,Low,2,Snack,0.0,Metropolitian,9.124289402474728,15,16
46,24.0,4.7,Sunny,Medium,0,Buffet,0.0,Urban,14.027634290613308,0,19
47,39.0,4.6,Sunny,Low,1,Snack,1.0,Metropolitian,13.39681651847038,0,27
48,39.0,4.2,Fog,Jam,2,Snack,1.0,Semi-Urban,12.584217051037724,15,49
49,32.0,4.5,Windy,Low,2,Buffet,0.0,Metropolitian,1.4903948859889404,15,20
50,36.0,4.7,Cloudy,Jam,1,Snack,1.0,Metropolitian,9.43816345911881,5,30
51,25.0,4.8,Sandstorms,Low,1,Drinks,0.0,Urban,11.92032372130122,10,18
52,33.0,4.9,Sunny,Jam,2,Drinks,0.0,Metropolitian,4.665030687484953,0,22
53,30.0,4.4,Cloudy,Low,2,Drinks,1.0,Metropolitian,10.644498227761442,15,34
54,33.0,5.0,Sandstorms,Low,0,Buffet,0.0,Urban,16.823648587497715,5,24
55,36.0,4.9,Fog,Medium,2,Drinks,1.0,Metropolitian,6.130475147813321,15,17
56,21.0,4.8,Sandstorms,Low,2,Meal,0.0,Metropolitian,2.997190626851644,10,14
57,39.0,4.9,Stormy,Jam,2,Meal,1.0,Metropolitian,7.344480596730924,0,30
58,23.0,4.8,Stormy,Low,1,Meal,1.0,Metropolitian,3.1460547419311484,10,15
59,35.0,4.8,Fog,Medium,2,Buffet,1.0,Urban,6.292109292193661,10,16
60,39.0,4.6,Cloudy,Jam,1,Snack,1.0,Metropolitian,13.97651014072506,5,36
61,22.0,4.7,Sunny,High,1,Buffet,1.0,Urban,6.083349897870425,5,18
62,32.0,4.6,Fog,Medium,1,Meal,0.0,Metropolitian,6.082800436270463,15,17
63,24.0,4.8,Sandstorms,Low,1,Buffet,1.0,Urban,12.584217051037724,5,15
64,29.0,4.7,Fog,Low,0,Buffet,1.0,Metropolitian,3.1460547419311484,10,17
65,29.566910587697237,4.6337736972250205,Fog,Low,1,Drinks,0.0,Metropolitian,6.212539253889852,0,19
66,26.0,4.7,Fog,Low,1,Buffet,0.0,Metropolitian,9.223267549227156,15,10
