Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,multiple_deliveries,City,distance,time_diff_minutes,Time_taken (min)
5137,29.0,4.6,Stormy,Jam,2,Snack,0.0,Metropolitian,13.974941749992782,15,24
36424,23.0,4.8,Cloudy,Low,2,Snack,1.0,Urban,4.593077489530641,5,13
41414,32.0,4.7,Sunny,High,2,Drinks,1.0,Urban,1.573027382944863,0,16
8446,25.0,4.9,Stormy,Jam,1,Buffet,0.0,Metropolitian,12.4384890207563,5,24
8344,38.0,4.7,Windy,Medium,1,Meal,1.0,Metropolitian,4.529583557387263,10,34
43825,25.0,4.1,Fog,Jam,2,Buffet,1.0,Urban,13.766517265279528,10,36
32209,38.0,4.9,Fog,Low,1,Meal,0.0,Metropolitian,9.43816345911881,10,19
3458,33.0,4.7,Cloudy,High,1,Drinks,1.0,Urban,3.065297110015864,15,29
42302,22.0,4.6,Sandstorms,Medium,2,Snack,1.0,Metropolitian,20.44934725735322,15,15
40233,38.0,4.2,Stormy,Low,0,Meal,1.0,Urban,3.110101360117415,5,21
30544,25.0,4.6,Windy,Jam,1,Meal,1.0,Urban,8.940983371309436,0,18
6875,29.566910587697237,4.6337736972250205,Stormy,Jam,2,Meal,1.0,Metropolitian,4.529586072977762,0,29
28440,21.0,4.5,Cloudy,Low,0,Snack,0.0,Metropolitian,10.870846282801171,5,21
11953,35.0,4.9,Windy,Jam,1,Buffet,1.0,Metropolitian,9.315761976664136,0,25
10522,23.0,4.7,Fog,Low,1,Drinks,0.0,Metropolitian,3.0210688107845125,0,16
14675,22.0,5.0,Sandstorms,Jam,1,Snack,1.0,Metropolitian,7.865136435552706,5,18
10668,32.0,5.0,Fog,Medium,2,Buffet,1.0,Metropolitian,6.082800436270463,5,18
7764,35.0,4.5,Cloudy,Medium,0,Snack,1.0,Urban,5.9939777684446565,5,26
40357,20.0,4.8,Windy,Medium,2,Drinks,1.0,Metropolitian,12.16583018950039,5,20
42504,27.0,4.9,Sandstorms,Low,0,Meal,0.0,Metropolitian,20.25940601214379,5,18
3560,30.0,4.9,Windy,Low,2,Buffet,1.0,Metropolitian,13.77007830460284,5,25
5564,28.0,4.7,Sunny,Medium,0,Meal,0.0,Metropolitian,4.665122256991299,15,17
32932,29.566910587697237,4.6337736972250205,Sandstorms,Low,1,Snack,0.0,Metropolitian,7.765634187283158,0,19
34314,26.0,4.7,Cloudy,Jam,0,Meal,1.0,Metropolitian,9.078201444608636,5,28
31230,20.0,4.6,Sunny,Jam,1,Drinks,1.0,Metropolitian,19.694746597858227,10,22
41796,27.0,5.0,Windy,Jam,1,Snack,0.0,Metropolitian,17.103756124842064,5,25
40704,39.0,4.8,Sunny,Medium,0,Drinks,0.0,Metropolitian,12.584217051037724,10,25
1418,29.566910587697237,4.6337736972250205,Fog,Low,0,Snack,1.0,Metropolitian,4.562358055268467,0,28
3163,20.0,4.8,Sandstorms,Medium,0,Meal,1.0,Metropolitian,9.43816345911881,10,16
20537,38.0,4.5,Fog,Medium,2,Snack,1.0,Metropolitian,9.195979881385286,10,15
33155,25.0,4.9,Cloudy,Medium,0,Buffet,1.0,Urban,10.870549740961929,0,32
21552,20.0,4.6,Fog,Jam,0,Meal,2.0,Metropolitian,13.97635465958695,0,40
12792,38.0,4.8,Sunny,High,2,Snack,0.0,Urban,3.030478123412965,15,15
21384,24.0,4.8,Sunny,Low,1,Buffet,0.0,Metropolitian,7.765381096122746,5,16
14280,29.0,4.8,Sandstorms,Low,1,Drinks,0.0,Metropolitian,7.775250055052099,10,12
24625,35.0,4.7,Sandstorms,High,2,Drinks,0.0,Urban,6.210631028768707,15,25
8357,39.0,4.8,Sandstorms,High,1,Snack,0.0,Metropolitian,6.212048437432228,15,26
12135,39.0,4.2,Cloudy,Jam,2,Meal,0.0,Metropolitian,13.410714806613722,15,35
1157,34.0,4.8,Sunny,Jam,1,Drinks,1.0,Metropolitian,17.17074984884596,15,28
15937,36.0,4.9,Cloudy,Low,1,Snack,0.0,Urban,3.030478123412965,10,19
2352,32.0,4.7,Windy,Low,2,Snack,1.0,Metropolitian,1.558575634600763,15,29
20882,34.0,4.5,Fog,Jam,0,Snack,2.0,Metropolitian,12.48851000344903,15,43
36741,31.0,4.6,Sunny,Medium,2,Meal,0.0,Urban,20.21268929347144,15,25
12956,26.0,4.6,Cloudy,Low,1,Buffet,0.0,Metropolitian,1.5529163554089458,10,14
3166,22.0,4.6,Cloudy,High,2,Drinks,1.0,Metropolitian,3.117266328357049,0,32
29513,20.0,4.8,Sandstorms,Low,1,Drinks,0.0,Urban,16.90820772794009,15,11
39069,23.0,4.9,Sunny,Jam,2,Snack,1.0,Urban,10.88484774896155,15,19
6518,30.0,4.7,Stormy,Medium,1,Drinks,1.0,Urban,9.351044258101393,5,28
23106,37.0,3.9,Sandstorms,Medium,2,Snack,1.0,Metropolitian,10.420301722604163,0,38
12607,28.0,4.6,Sandstorms,Medium,0,Buffet,1.0,Metropolitian,16.830146069924478,10,28
6671,39.0,4.0,Windy,Jam,0,Meal,1.0,Urban,9.058867165694403,15,36
33704,22.0,4.9,Windy,Jam,1,Snack,1.0,Metropolitian,9.057444671185143,10,29
4365,37.0,4.6,Fog,Medium,1,Drinks,2.0,Metropolitian,16.83005378712095,10,37
4928,27.0,4.4,Sandstorms,Jam,0,Buffet,1.0,Metropolitian,13.9763350687796,5,33
38295,31.0,4.1,Fog,Jam,1,Drinks,1.0,Urban,20.86366284110468,5,43
37025,33.0,4.7,Stormy,Medium,1,Buffet,1.0,Metropolitian,12.237080283860363,5,27
44032,35.0,4.6,Sunny,High,2,Drinks,1.0,Metropolitian,6.219641026813661,10,18
33726,24.0,4.4,Stormy,Low,0,Meal,1.0,Metropolitian,4.719082053000275,10,23
923,36.0,4.4,Stormy,Jam,1,Drinks,1.0,Metropolitian,14.04978220650426,10,39
10429,34.0,4.5,Sunny,Low,0,Snack,1.0,Metropolitian,16.858125364863483,15,25
20484,20.0,4.5,Sandstorms,Medium,0,Meal,1.0,Metropolitian,9.17807414387102,0,24
905,25.0,4.9,Windy,Jam,2,Snack,1.0,Metropolitian,13.616720807535398,5,28
29270,36.0,4.9,Cloudy,High,0,Meal,1.0,Metropolitian,5.954773364097914,5,25
9259,34.0,3.5,Sandstorms,Jam,2,Meal,1.0,Metropolitian,16.653230514154565,10,31
32252,25.0,4.8,Fog,Medium,2,Buffet,1.0,Urban,9.329544722283,10,17
681,33.0,5.0,Sandstorms,Low,2,Drinks,1.0,Metropolitian,3.0599288945934515,5,24
12661,38.0,4.5,Sandstorms,Jam,2,Snack,0.0,Metropolitian,19.981966861115872,15,36
10239,21.0,4.6,Fog,Low,2,Meal,0.0,Metropolitian,13.4105640114052,15,23
1855,29.0,4.8,Cloudy,Jam,1,Snack,1.0,Urban,9.195767200976382,5,27
14590,22.0,4.5,Fog,Low,0,Buffet,0.0,Urban,7.575840369133242,5,15
34130,37.0,4.9,Sunny,Jam,2,Buffet,1.0,Metropolitian,12.165460183093602,15,21
7347,32.0,4.9,Stormy,Jam,2,Drinks,1.0,Metropolitian,16.909063723605502,10,28
35830,30.0,4.6,Stormy,Jam,2,Snack,0.0,Metropolitian,20.188404502827375,5,26
26752,32.0,4.7,Windy,Jam,1,Snack,1.0,Metropolitian,7.633920530609673,0,34
21245,37.0,4.2,Cloudy,Jam,0,Drinks,0.0,Metropolitian,9.078201444608636,5,34
6689,33.0,4.8,Sunny,High,0,Drinks,0.0,Metropolitian,1.5327563431284303,5,25
22913,28.0,4.9,Stormy,Medium,1,Drinks,1.0,Urban,4.612045403768282,15,29
12027,32.0,4.7,Sunny,High,2,Buffet,1.0,Urban,5.961163865781736,0,16
27077,29.0,5.0,Stormy,Low,1,Meal,1.0,Metropolitian,4.683367642337976,10,13
41691,30.0,4.9,Sunny,Low,1,Snack,1.0,Urban,4.529646520852901,0,11
45532,33.0,4.3,Windy,High,0,Buffet,0.0,Metropolitian,6.234137032960067,10,35
36016,37.0,4.6,Windy,Medium,1,Buffet,1.0,Metropolitian,13.97756914980624,15,27
21972,37.0,4.6,Sunny,Jam,2,Meal,1.0,Metropolitian,20.18407669776513,15,16
40551,29.566910587697237,4.6337736972250205,Sunny,High,1,Buffet,1.0,Metropolitian,3.0198164327141006,0,15
442,39.0,5.0,Cloudy,Low,0,Meal,1.0,Metropolitian,20.19013517381441,5,41
29560,25.0,4.6,Stormy,Jam,2,Buffet,0.0,Metropolitian,4.658621705148369,10,16
33068,29.0,4.6,Sunny,Medium,1,Meal,0.0,Metropolitian,4.5973832929843645,0,15
44261,36.0,5.0,Fog,Low,1,Meal,0.0,Metropolitian,1.5131889603991624,15,19
41449,30.0,4.9,Windy,Low,1,Snack,1.0,Urban,7.765922923766985,5,27
14203,21.0,4.8,Sunny,Medium,0,Meal,1.0,Metropolitian,9.124362511098642,10,21
3974,33.0,4.9,Cloudy,Low,0,Drinks,1.0,Metropolitian,9.43816345911881,5,21
17235,29.566910587697237,4.6337736972250205,Stormy,Low,0,Drinks,1.0,Metropolitian,12.42237893970036,0,28
19008,32.0,5.0,Fog,High,0,Snack,1.0,Metropolitian,3.106108506459124,10,32
29120,29.566910587697237,4.6337736972250205,Sunny,Low,0,Drinks,0.0,Metropolitian,10.870698220528068,0,26
1291,35.0,3.7,Stormy,Jam,2,Snack,0.0,Metropolitian,19.889229584599477,10,31
13341,38.0,4.9,Sandstorms,Low,1,Buffet,0.0,Metropolitian,14.026655262644244,5,23
44921,36.0,4.7,Sandstorms,Jam,2,Snack,1.0,Metropolitian,7.653264588120578,0,34
43863,26.0,4.7,Cloudy,Medium,1,Drinks,1.0,Metropolitian,12.296581703265828,0,28
12712,28.0,4.0,Cloudy,Medium,2,Meal,1.0,Metropolitian,10.431376314751596,5,38
33577,37.0,4.8,Sunny,Medium,0,Snack,1.0,Metropolitian,6.119594248027193,10,27
37172,36.0,4.6,Fog,Low,2,Drinks,1.0,Metropolitian,9.084120915851996,15,19
22795,32.0,4.8,Sandstorms,Medium,0,Drinks,1.0,Metropolitian,7.450982812847859,5,28
1368,27.0,4.8,Sandstorms,Medium,2,Snack,0.0,Metropolitian,19.402104090236374,15,17
1543,29.566910587697237,4.6337736972250205,Sunny,Low,0,Snack,0.0,Metropolitian,1.5327458018551985,0,14
15448,39.0,4.8,Cloudy,Low,0,Buffet,0.0,Metropolitian,12.439142224412032,5,44
33440,24.0,4.8,Fog,Medium,0,Snack,0.0,Metropolitian,6.177352160969543,0,26
105,31.0,4.8,Sandstorms,Low,1,Snack,0.0,Metropolitian,7.764993745326693,10,24
19292,28.0,4.7,Fog,Jam,0,Meal,1.0,Metropolitian,4.529710662248728,0,25
40700,32.0,4.6,Cloudy,Jam,1,Buffet,2.0,Metropolitian,20.291770142202008,15,44
4887,21.0,4.6,Windy,Low,2,Drinks,0.0,Urban,10.88414699061599,10,13
43624,33.0,5.0,Sunny,Jam,1,Drinks,0.0,Metropolitian,16.853184564504172,10,28
27327,26.0,4.8,Fog,High,0,Meal,0.0,Urban,3.1171190078748774,10,25
40185,31.0,3.5,Stormy,Medium,1,Meal,1.0,Metropolitian,10.884321065655476,5,34
13155,30.0,4.9,Sunny,Jam,2,Drinks,1.0,Metropolitian,4.580451622889548,0,21
5039,24.0,4.7,Sunny,Low,2,Meal,1.0,Metropolitian,20.44934725735322,5,30
37067,37.0,4.7,Stormy,Medium,0,Drinks,1.0,Urban,4.470715039184446,15,28
34138,29.566910587697237,4.6337736972250205,Sandstorms,Low,2,Snack,1.0,Metropolitian,13.409709107566847,0,17
20280,32.0,3.9,Cloudy,Low,2,Meal,1.0,Metropolitian,19.98190297515753,5,31
23257,37.0,5.0,Stormy,Medium,0,Snack,1.0,Urban,4.465591355063193,5,26
27054,30.0,4.9,Sandstorms,Medium,1,Buffet,0.0,Metropolitian,12.584217051037724,10,29
44496,33.0,4.1,Fog,Medium,1,Meal,0.0,Metropolitian,13.974145634462552,15,34
32130,38.0,4.9,Sandstorms,Low,2,Buffet,1.0,Urban,7.686153029846673,15,22
29319,29.566910587697237,4.6337736972250205,Fog,High,0,Snack,1.0,Metropolitian,6.2128964974981695,5,23
17265,24.0,4.6,Cloudy,Low,0,Snack,1.0,Urban,4.665108629662017,5,15
42305,34.0,4.6,Fog,Low,0,Buffet,1.0,Metropolitian,19.92222315321962,15,38
4049,38.0,4.5,Sandstorms,Jam,1,Buffet,1.0,Metropolitian,16.727225452617763,5,43
31510,33.0,4.7,Windy,Low,1,Snack,1.0,Metropolitian,12.297428915947595,15,28
40652,30.0,4.7,Cloudy,High,0,Buffet,0.0,Urban,6.292109292193661,10,28
7314,29.0,5.0,Stormy,Medium,2,Snack,0.0,Metropolitian,7.764216623197583,5,26
8699,39.0,4.8,Cloudy,Low,0,Snack,1.0,Metropolitian,4.597920184276279,10,25
27540,28.0,4.7,Sandstorms,Medium,1,Drinks,1.0,Metropolitian,6.234348508632932,0,26
43382,31.0,4.6,Windy,Low,2,Snack,1.0,Metropolitian,7.764529610283746,10,22
30497,36.0,4.8,Sunny,Jam,0,Buffet,1.0,Metropolitian,10.760074648174696,10,29
27552,36.0,4.5,Stormy,Low,0,Buffet,1.0,Metropolitian,3.105546461386348,15,26
43305,30.0,4.0,Fog,Jam,2,Meal,0.0,Metropolitian,4.659113690717868,10,38
17109,32.0,4.8,Sunny,Low,2,Snack,0.0,Metropolitian,4.529605275354816,10,16
1514,21.0,4.6,Cloudy,Jam,0,Buffet,0.0,Metropolitian,10.760366912227669,15,43
8500,35.0,4.8,Windy,Medium,0,Snack,1.0,Metropolitian,11.921391165589352,10,31
43075,27.0,4.2,Sandstorms,Low,0,Snack,1.0,Metropolitian,9.317953007773008,0,29
43157,23.0,4.9,Windy,Low,1,Buffet,0.0,Metropolitian,3.105530642314862,15,17
39658,36.0,4.9,Cloudy,High,2,Drinks,0.0,Urban,6.149090290300634,5,27
10145,35.0,3.5,Sandstorms,Medium,1,Snack,1.0,Urban,11.908602691803884,15,31
4330,29.0,4.7,Stormy,High,1,Snack,1.0,Urban,6.118847562778637,0,13
42264,29.0,4.8,Cloudy,Jam,0,Meal,2.0,Metropolitian,12.42288026959522,10,43
12216,30.0,4.6,Cloudy,Medium,0,Drinks,1.0,Metropolitian,6.118847562778637,10,26
33177,35.0,4.1,Fog,Jam,0,Drinks,1.0,Metropolitian,4.658324868391264,0,31
9097,25.0,4.5,Fog,Medium,0,Snack,1.0,Metropolitian,13.586847442957977,0,34
9563,26.0,4.7,Sunny,Low,0,Snack,1.0,Metropolitian,3.041818186608348,5,17
32211,30.0,3.8,Stormy,Jam,1,Drinks,1.0,Metropolitian,10.726653226767583,10,38
38370,24.0,4.1,Sandstorms,Low,0,Buffet,0.0,Metropolitian,7.564852922438019,10,25
32804,29.0,4.6,Fog,Jam,1,Buffet,1.0,Metropolitian,4.545694030616617,0,27
3267,27.0,5.0,Sunny,Low,2,Snack,0.0,Metropolitian,1.555039181829115,5,18
36665,29.566910587697237,4.6337736972250205,Stormy,Low,0,Drinks,1.0,Metropolitian,8.940725148436753,0,19
30753,26.0,4.4,Fog,Jam,1,Snack,0.0,Metropolitian,19.980633520553575,0,35
25039,39.0,5.0,Sunny,Low,1,Snack,0.0,Metropolitian,3.0262944920834505,0,12
44824,37.0,4.9,Fog,Medium,1,Meal,1.0,Urban,7.45075069185124,15,18
7464,24.0,5.0,Sandstorms,Low,2,Snack,0.0,Urban,3.065229013328713,0,15
31121,35.0,4.6,Fog,Medium,1,Buffet,1.0,Metropolitian,7.663153718555203,0,19
10167,28.0,4.7,Fog,Low,2,Drinks,1.0,Metropolitian,3.10994598393891,10,18
34936,31.0,4.6,Fog,Low,1,Meal,1.0,Metropolitian,1.5307398722583625,5,17
3661,37.0,4.6,Fog,Low,2,Meal,1.0,Urban,1.509913271156729,15,17
41849,37.0,4.8,Windy,Low,2,Meal,1.0,Metropolitian,9.3163736272833,10,20
7278,36.0,3.8,Sunny,Jam,2,Meal,1.0,Metropolitian,16.65186014388493,5,33
11653,29.566910587697237,4.6337736972250205,Cloudy,Jam,0,Meal,1.0,Metropolitian,12.102821607336256,0,45
5401,28.0,4.7,Fog,Low,1,Meal,0.0,Metropolitian,7.564738209481037,0,16
23591,34.0,5.0,Sunny,Low,1,Snack,1.0,Urban,13.835097957625814,0,19
12240,35.0,4.7,Sunny,Jam,2,Drinks,1.0,Metropolitian,9.316223657172328,5,24
28376,28.0,4.2,Stormy,Low,0,Meal,0.0,Urban,3.065360855691009,5,25
44145,23.0,4.3,Sandstorms,Low,0,Buffet,1.0,Metropolitian,4.59769407357993,5,21
468,34.0,3.5,Windy,Medium,2,Snack,1.0,Metropolitian,11.921421691973752,5,32
18013,29.0,4.6,Cloudy,Jam,2,Buffet,0.0,Metropolitian,7.575847608020491,15,26
26090,36.0,4.9,Sunny,Jam,0,Snack,0.0,Metropolitian,13.587332700622255,10,40
32715,33.0,4.3,Windy,Jam,2,Buffet,1.0,Metropolitian,12.07784669572554,5,38
2111,26.0,4.1,Sandstorms,Low,0,Buffet,0.0,Metropolitian,9.195907228726783,15,29
8366,20.0,4.6,Stormy,Low,2,Snack,0.0,Metropolitian,3.0599288945934515,0,16
24975,29.566910587697237,4.6337736972250205,Sandstorms,High,0,Buffet,1.0,Metropolitian,6.082857972435271,0,22
5499,29.0,4.5,Sandstorms,Medium,1,Meal,0.0,Metropolitian,17.303295941503084,5,20
23814,20.0,4.6,Windy,Jam,0,Buffet,1.0,Urban,10.868281225743866,10,35
35376,36.0,3.6,Stormy,Jam,2,Drinks,2.0,Metropolitian,10.430184075696028,10,40
21328,37.0,4.4,Windy,Medium,1,Meal,0.0,Metropolitian,16.640537402346094,10,32
2350,27.0,4.5,Windy,Medium,2,Snack,1.0,Metropolitian,12.487841377486482,10,25
357,38.0,3.7,Stormy,Jam,1,Meal,1.0,Metropolitian,16.858637792430503,10,31
5051,37.0,5.0,Stormy,Low,2,Drinks,1.0,Metropolitian,1.5549652675252918,10,20
34195,24.0,4.6,Windy,Low,2,Meal,1.0,Metropolitian,13.993641324257386,10,17
3750,37.0,5.0,Sunny,Medium,1,Meal,1.0,Metropolitian,6.130823373939967,15,23
28230,20.0,4.8,Cloudy,Low,0,Buffet,0.0,Metropolitian,3.122186560889102,5,24
39924,27.0,4.6,Sandstorms,Medium,2,Drinks,1.0,Metropolitian,12.16583018950039,5,23
39871,36.0,4.8,Stormy,Low,1,Meal,1.0,Urban,10.566835975624892,0,16
1006,24.0,4.8,Cloudy,Jam,1,Meal,1.0,Metropolitian,20.187497094825783,15,30
29746,35.0,4.6,Windy,Low,1,Drinks,1.0,Urban,9.078272552910798,10,21
30190,37.0,4.6,Sandstorms,Jam,0,Drinks,1.0,Urban,17.303295941503084,15,38
36866,33.0,4.8,Stormy,Low,0,Buffet,1.0,Metropolitian,16.606451648646136,0,22
31125,30.0,3.7,Fog,Low,2,Snack,1.0,Metropolitian,13.834624384395871,10,33
31114,33.0,4.6,Fog,Medium,0,Drinks,1.0,Metropolitian,16.836198152074825,5,36
22360,28.0,4.6,Stormy,High,0,Snack,1.0,Metropolitian,1.5129484185860833,5,26
7735,34.0,5.0,Stormy,High,1,Snack,1.0,Urban,3.106065854348754,15,31
43395,22.0,4.6,Windy,Low,1,Buffet,1.0,Urban,11.01119033893336,15,19
4561,20.0,4.6,Stormy,Jam,1,Meal,1.0,Urban,12.16593389806985,5,16
44812,36.0,4.8,Cloudy,Low,0,Buffet,0.0,Urban,1.52090921705968,10,24
15631,39.0,4.9,Fog,Low,2,Snack,0.0,Metropolitian,1.558623114752257,15,18
25030,36.0,3.6,Sandstorms,Jam,1,Buffet,1.0,Metropolitian,12.164949002602702,10,43
31477,37.0,4.9,Fog,Medium,0,Drinks,2.0,Metropolitian,16.373514659630604,10,46
29829,29.0,4.7,Cloudy,Medium,1,Drinks,1.0,Urban,7.663362383172287,15,13
35987,30.0,4.6,Stormy,Low,0,Buffet,1.0,Metropolitian,16.388999332269318,5,21
1113,24.0,4.7,Windy,Jam,1,Snack,0.0,Metropolitian,20.44934725735322,5,17
2038,21.0,4.5,Sunny,High,0,Snack,2.0,Metropolitian,6.051855477105451,15,52
21603,35.0,3.4,Sunny,Low,0,Snack,1.0,Metropolitian,13.485189483503456,5,33
21464,23.0,4.7,Fog,Jam,1,Buffet,1.0,Metropolitian,9.317948234270055,10,23
37169,34.0,5.0,Windy,Jam,0,Buffet,0.0,Metropolitian,17.303295941503084,15,43
21848,39.0,4.7,Stormy,Medium,2,Buffet,1.0,Metropolitian,10.605746101440827,5,23
40090,38.0,4.7,Fog,Low,1,Snack,1.0,Urban,4.591275466596812,0,16
3410,39.0,4.8,Sunny,Medium,0,Drinks,1.0,Urban,5.876359496856285,0,21
29641,36.0,5.0,Cloudy,Low,1,Buffet,0.0,Metropolitian,3.0599109154471766,5,18
20278,22.0,4.7,Sandstorms,Low,2,Drinks,0.0,Urban,13.775092537650965,5,12
17477,26.0,4.5,Windy,Jam,2,Snack,1.0,Metropolitian,16.651740816523432,10,23
39114,24.0,4.9,Sunny,Jam,0,Drinks,0.0,Metropolitian,13.635618731960076,5,22
33289,22.0,5.0,Sunny,Low,2,Drinks,1.0,Metropolitian,1.5549900774341865,15,23
41243,21.0,4.9,Cloudy,Low,0,Snack,0.0,Metropolitian,3.028044796194674,15,15
33115,35.0,4.7,Stormy,Low,1,Meal,1.0,Urban,3.028188561863709,5,23
31855,25.0,4.8,Sunny,Low,2,Snack,1.0,Metropolitian,2.938124819916669,0,16
38279,27.0,5.0,Sandstorms,Jam,2,Buffet,1.0,Metropolitian,11.923337046515044,10,28
11877,33.0,4.5,Windy,Medium,2,Snack,1.0,Metropolitian,4.659041708493997,10,25
43128,22.0,4.7,Stormy,Jam,1,Snack,1.0,Metropolitian,7.763922742576766,0,27
36844,20.0,4.9,Fog,Jam,0,Meal,1.0,Metropolitian,7.774681600772497,0,29
20979,35.0,4.3,Sandstorms,Jam,0,Meal,1.0,Urban,4.562584189378447,0,34
